Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
602,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,09:00:00,6,20.48,52.3,0.72
603,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,09:30:00,6,24.21,52.6,0.24
604,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,10:00:00,6,19.55,52.3,1.08
605,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,10:30:00,6,22.7,51.4,0.72
606,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,11:00:00,6,20.98,50.9,0.84
607,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,11:30:00,6,20.57,52.2,1.08
608,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,12:00:00,6,21.94,54.8,0.72
609,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,14:30:00,6,25.15,61.0,0.12
610,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,15:00:00,6,21.33,58.6,0.96
611,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,15:30:00,6,23.26,59.4,0.12
612,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,16:00:00,6,22.98,57.7,0.84
613,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,16:30:00,6,25.5,57.1,0.36
614,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,17:00:00,6,24.27,57.2,0.84
615,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,17:30:00,6,25.45,58.1,0.36
721,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,09:00:00,5,23.0,52.3,1.08
722,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,09:30:00,5,23.4,52.6,1.2
723,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,10:00:00,5,23.4,52.3,0.36
724,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,10:30:00,5,23.7,51.4,0.96
725,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,11:00:00,5,23.9,50.9,1.08
726,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,11:30:00,5,24.5,52.2,0.6
727,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,12:00:00,5,24.9,54.8,0.0
728,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,14:30:00,5,24.9,61.0,1.08
729,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,15:00:00,5,25.8,58.6,0.0
730,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,2.0,0,2021/7/27,15:30:00,5,26.3,59.4,0.48
731,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,2.0,0,2021/7/27,16:00:00,5,26.9,57.7,0.6
732,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,16:30:00,5,27.1,57.1,0.72
733,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,17:00:00,5,27.2,57.2,0.72
734,7.0,1.0,24.0,183.0,78.0,23.29,2.37,1.0,-1.0,-1.0,1.0,0,2021/7/27,17:30:00,5,26.9,58.1,0.72
1869,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,09:00:00,5,23.0,52.3,0.24
1870,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,09:30:00,5,23.4,52.6,0.48
1871,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,0.0,0,2021/7/27,10:00:00,5,23.4,52.3,1.2
1872,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,0.0,0,2021/7/27,10:30:00,5,23.7,51.4,0.96
1873,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,11:00:00,5,23.9,50.9,0.96
1874,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,11:30:00,5,24.5,52.2,0.0
1875,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,12:00:00,5,24.9,54.8,0.36
1876,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,14:30:00,5,24.9,61.0,0.12
1877,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,15:00:00,5,25.8,58.6,0.84
1878,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,1.0,0,2021/7/27,15:30:00,5,26.3,59.4,1.08
1879,18.0,0.0,22.0,163.0,48.0,18.07,1.09,1.0,-1.0,-1.0,2.0,0,2021/7/27,16:00:00,5,26.9,57.7,0.96
