Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
1925,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,0.0,1,2021/1/10,09:00:00,5,22.2,15.7,0.84
1926,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,0.0,1,2021/1/10,09:30:00,5,22.6,16.3,0.72
1927,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,0.0,1,2021/1/10,10:00:00,5,22.9,16.8,0.96
1928,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,10:30:00,5,24.0,16.4,0.84
1929,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,11:00:00,5,24.6,16.3,0.36
1930,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,11:30:00,5,24.9,16.2,0.0
1931,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,12:00:00,5,25.0,16.3,0.6
1932,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,14:30:00,5,25.3,13.6,1.2
1933,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,2.0,1,2021/1/10,15:00:00,5,25.4,14.7,0.12
1934,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,2.0,1,2021/1/10,15:30:00,5,25.7,15.2,0.12
1935,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,2.0,1,2021/1/10,16:00:00,5,25.3,15.9,1.08
1936,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,2.0,1,2021/1/10,16:30:00,5,25.0,16.5,0.12
1937,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,17:00:00,5,24.9,16.8,0.24
1938,19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,1,2021/1/10,17:30:00,5,24.7,16.8,1.2
2142,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,0.0,1,2021/1/10,09:00:00,5,17.22,15.7,1.08
2143,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,0.0,1,2021/1/10,09:30:00,5,17.080000000000002,16.3,0.96
2144,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,10:00:00,5,23.66,16.8,0.96
2145,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,10:30:00,5,23.68,16.4,0.96
2146,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,11:00:00,5,22.950000000000003,16.3,0.36
2147,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,11:30:00,5,21.63,16.2,0.72
2148,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,2.0,1,2021/1/10,12:00:00,5,25.83,16.3,1.08
2149,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,0.0,1,2021/1/10,14:30:00,5,20.97,13.6,0.48
2150,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,15:00:00,5,23.78,14.7,0.84
2151,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,2.0,1,2021/1/10,15:30:00,5,26.45,15.2,0.24
2152,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,2.0,1,2021/1/10,16:00:00,5,26.25,15.9,0.84
2153,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,16:30:00,5,24.25,16.5,0.96
2154,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,17:00:00,5,24.29,16.8,0.48
2155,21.0,0.0,21.0,163.0,49.0,18.44,0.81,1.0,-1.0,1.0,1.0,1,2021/1/10,17:30:00,5,23.46,16.8,0.24
2261,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,0.0,1,2021/1/10,09:00:00,5,22.2,15.7,0.96
2262,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,0.0,1,2021/1/10,09:30:00,5,22.6,16.3,0.96
2263,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,10:00:00,5,22.9,16.8,0.6
2264,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,10:30:00,5,24.0,16.4,0.72
2265,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,11:00:00,5,24.6,16.3,0.0
2266,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,11:30:00,5,24.9,16.2,0.12
2267,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,12:00:00,5,25.0,16.3,0.48
2268,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,14:30:00,5,25.3,13.6,0.48
2269,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,2.0,1,2021/1/10,15:00:00,5,25.4,14.7,0.72
2270,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,2.0,1,2021/1/10,15:30:00,5,25.7,15.2,0.24
2271,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,2.0,1,2021/1/10,16:00:00,5,25.3,15.9,0.24
2272,22.0,1.0,23.0,175.0,67.0,21.88,0.83,1.0,0.0,0.0,1.0,1,2021/1/10,16:30:00,5,25.0,16.5,1.2
