Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
98,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,0.0,1,2021/1/15,09:00:00,5,21.45,17.0,0.0
99,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,09:30:00,5,23.25,17.7,0.36
100,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,10:00:00,5,22.77,17.4,0.96
101,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,0.0,1,2021/1/15,10:30:00,5,19.040000000000003,20.4,0.36
102,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,0.0,1,2021/1/15,11:00:00,5,18.23,20.9,0.0
103,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,11:30:00,5,24.39,21.6,0.96
104,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,2.0,1,2021/1/15,12:00:00,5,26.4,20.7,0.6
105,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,14:30:00,5,21.7,19.2,0.36
106,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,2.0,1,2021/1/15,15:00:00,5,26.54,19.9,0.36
107,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,2.0,1,2021/1/15,15:30:00,5,26.71,20.6,0.6
108,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,16:00:00,5,23.5,18.6,1.2
109,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,16:30:00,5,24.21,19.5,1.08
110,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,1.0,1,2021/1/15,17:00:00,5,25.17,18.1,0.96
111,2.0,1.0,21.0,176.0,56.0,18.08,1.02,2.0,0.0,-1.0,2.0,1,2021/1/15,17:30:00,5,26.26,17.7,0.36
560,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,1,2021/1/15,09:00:00,6,19.72,17.0,1.2
561,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,1,2021/1/15,09:30:00,6,19.26,17.7,0.0
562,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,1,2021/1/15,10:00:00,6,19.95,17.4,0.24
563,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,1,2021/1/15,10:30:00,6,23.5,20.4,0.72
564,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,1,2021/1/15,11:00:00,6,20.82,20.9,0.48
565,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,1,2021/1/15,11:30:00,6,21.24,21.6,0.24
566,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,1,2021/1/15,12:00:00,6,21.97,20.7,0.0
567,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,1,2021/1/15,14:30:00,6,22.31,19.2,0.24
