Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
602,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,09:00:00,6,20.48,52.3,0.72
603,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,09:30:00,6,24.21,52.6,0.24
604,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,10:00:00,6,19.55,52.3,1.08
605,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,10:30:00,6,22.7,51.4,0.72
606,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,11:00:00,6,20.98,50.9,0.84
607,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,11:30:00,6,20.57,52.2,1.08
608,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,12:00:00,6,21.94,54.8,0.72
609,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,14:30:00,6,25.15,61.0,0.12
610,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,15:00:00,6,21.33,58.6,0.96
611,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,15:30:00,6,23.26,59.4,0.12
612,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/27,16:00:00,6,22.98,57.7,0.84
613,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,16:30:00,6,25.5,57.1,0.36
614,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,17:00:00,6,24.27,57.2,0.84
615,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/27,17:30:00,6,25.45,58.1,0.36
2849,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,14:30:00,1,23.0,69.3,1.08
2850,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,15:00:00,1,22.2,67.3,0.12
2851,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,15:30:00,1,24.3,67.3,1.08
2852,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,16:00:00,1,24.7,68.0,1.08
2853,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,16:30:00,1,25.0,68.3,0.36
2854,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,17:00:00,1,25.0,67.2,0.24
2855,27.0,1.0,23.0,175.0,65.0,21.22,1.2,0.0,1.0,1.0,1.0,0,2021/7/27,17:30:00,1,23.3,67.1,1.2
3738,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,1.0,0,2021/7/27,09:00:00,5,25.3,52.3,0.48
3739,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,09:30:00,5,18.98,52.6,0.0
3740,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,10:00:00,5,22.57,52.3,0.0
3741,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,1.0,0,2021/7/27,10:30:00,5,25.7,51.4,0.12
3742,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,11:00:00,5,23.64,50.9,0.36
3743,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,11:30:00,5,23.83,52.2,1.08
3744,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,12:00:00,5,23.12,54.8,0.12
3745,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,1.0,0,2021/7/27,14:30:00,5,24.16,61.0,0.96
3746,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,15:00:00,5,21.91,58.6,1.2
3747,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,15:30:00,5,22.03,59.4,0.96
3748,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,1.0,0,2021/7/27,16:00:00,5,26.27,57.7,0.48
3749,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,1.0,0,2021/7/27,16:30:00,5,24.65,57.1,0.96
3750,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,0.0,0,2021/7/27,17:00:00,5,23.69,57.2,1.08
3751,36.0,1.0,23.0,182.0,75.7,22.85,1.28,0.0,1.0,0.0,2.0,0,2021/7/27,17:30:00,5,27.53,58.1,0.12
3808,37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,0,2021/7/27,09:00:00,4,24.69,52.3,0.84
3809,37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,0,2021/7/27,09:30:00,4,24.92,52.6,0.96
3810,37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,0.0,0,2021/7/27,10:00:00,4,21.49,52.3,0.96
3811,37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,0.0,0,2021/7/27,10:30:00,4,20.34,51.4,0.24
3812,37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,0,2021/7/27,11:00:00,4,26.19,50.9,0.24
