count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,09:00:00,20.58,14.683333333333335,1,1.1880005895581935,166.5,52.666666666666664,18.82,0.42999999999999994,1
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,09:30:00,19.55666666666667,15.633333333333333,1,0.49472396018945797,166.5,52.666666666666664,18.82,0.42999999999999994,0
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,10:00:00,21.813333333333333,15.149999999999999,1,1.1136489290946712,166.5,52.666666666666664,18.82,0.42999999999999994,1
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,10:30:00,22.546666666666663,14.433333333333335,1,0.7668049414873888,166.5,52.666666666666664,18.82,0.42999999999999994,1
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,11:00:00,24.276666666666667,14.033333333333333,1,0.7501300425427898,166.5,52.666666666666664,18.82,0.42999999999999994,1
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,11:30:00,25.206666666666663,14.316666666666668,1,0.7500621532678499,166.5,52.666666666666664,18.82,0.42999999999999994,2
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,12:00:00,24.971666666666668,14.266666666666666,1,0.6834318698493751,166.5,52.666666666666664,18.82,0.42999999999999994,2
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,14:30:00,24.604999999999993,13.483333333333334,1,0.15160128478620657,166.5,52.666666666666664,18.82,0.42999999999999994,1
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,15:00:00,24.258333333333336,14.016666666666666,1,0.9510779483430603,166.5,52.666666666666664,18.82,0.42999999999999994,1
6,0.2,1.0,1.0,0.2,1.0,0.0,0.2,1.0,0.2,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0.25,1.0,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2021/1/09,15:30:00,24.94333333333333,14.600000000000001,1,0.9788726324786398,166.5,52.666666666666664,18.82,0.42999999999999994,1
